t,ax,ay,az,gx,gy,gz,label
47996,1.0391,0.4026,-0.6304,-2.931,16.382,-15.626,fall
48016,1.0308,0.4216,-0.6409,-5.878,26.031,-11.107,fall
48036,1.0188,0.4473,-0.6128,-3.656,23.992,-6.802,fall
48056,1.0256,0.4739,-0.604,1.229,20.16,-6.336,fall
48076,1.0654,0.4617,-0.6001,0.023,21.962,-10.863,fall
48096,1.0813,0.3657,-0.5747,-1.206,28.824,-18.992,fall
48116,1.1091,0.3511,-0.5784,-2.771,29.794,-22.015,fall
48136,1.0801,0.4006,-0.5439,-6.71,24.168,-21.305,fall
48156,1.0251,0.3882,-0.5376,-11.229,21.466,-19.542,fall
48176,1.0437,0.3528,-0.542,-8.481,26.672,-21.16,fall
48196,1.0918,0.345,-0.5613,-2.45,29.527,-21.794,fall
48216,1.0662,0.3738,-0.4966,-4.076,35.656,-19.107,fall
48236,0.9917,0.4202,-0.4043,-14.611,32.069,-18.603,fall
48256,0.8999,0.4529,-0.3352,-18.023,57.802,-23.015,fall
48276,0.9885,0.4453,-0.5188,-14.397,56.534,-27.718,fall
48296,1.032,0.5015,-0.4541,5.359,50.191,-31.595,fall
48316,1.0452,0.4426,-0.522,9.954,42.328,-31.954,fall
48336,0.9807,0.3445,-0.4761,14.229,40.481,-25.626,fall
48356,0.9062,0.2549,-0.4644,7.611,41.321,-16.214,fall
48376,0.8564,0.283,-0.4358,-4.939,34.061,-9.015,fall
48396,0.8115,0.2305,-0.366,-17.092,24.824,-5.878,fall
48416,0.7637,0.1741,-0.3674,-22.313,23.893,-5.58,fall
48437,0.675,0.26,-0.2595,-20.649,33.885,-4.664,fall
48457,0.666,0.324,-0.3127,-13.565,43.939,-0.939,fall
48477,0.697,0.3181,-0.3552,-4.29,39.908,3.069,fall
48497,0.6787,0.248,-0.3022,3.824,31.099,4.443,fall
48517,0.6716,0.1946,-0.2935,6.489,28.985,2.679,fall
48537,0.6597,0.2034,-0.3174,-0.954,20.58,5.817,fall
48557,0.6172,0.2017,-0.219,-4.878,3.924,10.038,fall
48577,0.5356,0.1709,-0.218,-10.252,2.275,16.267,fall
48597,0.5156,0.231,-0.2241,-18.0,5.916,19.382,fall
48617,0.5586,0.3079,-0.2986,-18.71,4.244,18.252,fall
48637,0.626,0.3523,-0.2742,-15.672,-0.969,13.466,fall
48657,0.5991,0.3232,-0.2739,-7.786,11.847,9.763,fall
48677,0.5566,0.2788,-0.1875,-3.023,23.191,9.947,fall
48697,0.5679,0.2588,-0.1084,-10.412,32.71,9.023,fall
48717,0.7073,0.3943,-0.0581,-21.191,43.641,9.053,fall
48737,0.9795,0.5964,-0.1431,-37.863,24.985,1.565,fall
48757,1.3528,0.7673,-0.1951,-32.252,-14.809,-17.198,fall
48777,1.0454,0.5337,-0.1008,-4.908,-13.664,-15.931,fall
48797,0.8582,0.4238,-0.1877,18.748,19.771,7.985,fall
48817,0.9412,0.4133,-0.3132,26.45,13.58,17.992,fall
48837,0.8845,0.325,-0.1631,26.725,-5.214,17.038,fall
48857,0.844,0.3018,-0.1765,10.069,-8.359,17.206,fall
48877,0.873,0.3506,-0.2449,-6.954,-8.55,15.031,fall
48897,0.9268,0.334,-0.2512,-14.221,-2.29,12.771,fall
